(월)
=T("3-6"),작문,불2,영2,정치,생1,독해,한문,
=T("3-7"),영2,정보,한문,근현,작문,수2,화2,
=T("3-8"),근현,정보,지1,영2,체육,수2,작문,
=T("3-9"),생2,환경,근현,작문,화2,수2,영2,
=T("3-10"),정보,윤리,수2,생2,화2,한문,작문,
=T("3-11"),화2,작문,수2,체육,영2,생2,정보,
=T("3-12"),영재2,체육,수2,작문,윤리,근현,환경,
=T("3-13"),작문,수2,체육,정보,근현,윤리,영2,
=T("3-14"),물2,수2,한문,영2,근현,화2,작문,
=T("3-15"),영재2,수2,화2,환경,정보,작문,근현,

(토)
학년-반, 1교시, 2교시, 3교시, 4교시, 5교시, 6교시, 7교시, 8교시
===============================================================
=T("1-1"),
=T("1-2"),
=T("1-3"),
=T("1-4"),
=T("1-5"),
=T("1-6"),
=T("1-7"),
=T("1-8"),
=T("1-9"),
=T("1-10"),
=T("1-11"),
=T("1-12"),
=T("1-13"),
=T("1-14"),
=T("1-15"),
=T("1-16"),
=T("1-17"),
=T("2-1"),
=T("2-2"),
=T("2-3"),
=T("2-4"),
=T("2-5"),
=T("2-6"),
=T("2-7"),
=T("2-8"),
=T("2-9"),
=T("2-10"),
=T("2-11"),
=T("2-12"),
=T("2-13"),
=T("2-14"),
=T("2-15"),
=T("2-16"),
=T("3-1"),
=T("3-2"),
=T("3-3"),
=T("3-4"),
=T("3-5"),
=T("3-6"),
=T("3-7"),
=T("3-8"),
=T("3-9"),
=T("3-10"),
=T("3-11"),
=T("3-12"),
=T("3-13"),
=T("3-14"),
=T("3-15"),

